university,file_path,status_or_license
"Offiziershochschule der Landstreitkräfte ""Ernst Thälmann""",logos/000506_Offiziershochschule der Landstreitkräfte _Ernst Thälmann__Absolventenabzeichen%20Ausbildung%20Berufsoffizier.jpg,ok
Comillas Pontifical University,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Comillas%20Universidad%20Pontificia%20logo%20%282018%29.jpg (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e04cfd40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
The Citadel,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/The%20Citadel%20logo.svg (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e04cdd00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Pontifical University of John Paul II,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Uniwersytet%20Papieski%20Jana%20Paw%C5%82a%20II%20w%20Krakowie%20Logo%20%282%29.png (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e04cd9d0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Franz Mehring Military Academy,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Absolventenabzeichen%20Ausbildung%20Berufsoffizier.jpg (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e0363830>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Pontifical Bolivarian University,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/Escudo%20f.png (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e0361760>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Université du Québec en Abitibi-Témiscamingue,,"download-error:HTTPConnectionPool(host='commons.wikimedia.org', port=80): Max retries exceeded with url: /wiki/Special:FilePath/UQAT%20Colour%20Logo.png (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7711e04ce060>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
University of Massachusetts Boston,logos/000003_University of Massachusetts Boston_Umass%20boston%20textlogo.png,ok
Michigan Technological University,logos/000001_Michigan Technological University_Michigan%20tech%20univ%20husky%20logo.png,ok
University of Massachusetts Amherst,logos/000002_University of Massachusetts Amherst_UMassAmherst%20logo.png,ok
University of Salzburg,logos/000006_University of Salzburg_Logo%20der%20Universit%C3%A4t%20Salzburg.jpg,ok
University of Saint Joseph,logos/000005_University of Saint Joseph_Usj%20connecticut%20logo.png,ok
Harbin Engineering University,logos/000004_Harbin Engineering University_%E5%B7%A1%E9%81%93%E5%B7%A5%E5%87%BA%E5%93%81%20photo%20by%20xundaogong%20%E5%93%88%E5%B0%94%E6%BB%A8%E5%B7%A5%E7%A8%8B%E5%A4%A7%E5%AD%A6%20%E7%BA%A2%E6%97%97%E5%A4%A7%E8%A1%97%E6%AD%A3%E9%9D%A2%20-%20panoramio.jpg,ok
Universidad Autónoma Nuevo León,logos/000007_Universidad Autónoma Nuevo León_Logo%20de%20la%20UANL.svg,ok
Jaume I University,logos/000008_Jaume I University_Logo%20UJI%20%282017%29.jpg,ok
Charles University,logos/000009_Charles University_Univerzita%20Karlova%20horizontal%20logo%202023.svg,ok
"National University, Costa Rica",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9c/UNA.png
Northeastern University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/02/Northeastern_Wordmark.svg
Kim Il-sung University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/16/KIS_University_Logo.svg
Massachusetts Institute of Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/0c/MIT_logo.svg
Boston University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/31/Boston_University_wordmark.svg
Boston College,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/21/Boston_College_Logotype.svg
Brandeis University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/15/Brandeis_University_Logo.png
Tufts University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/12/Tufts_University_wordmark.svg
Wesleyan University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e8/Wesleyan_University_logo.svg
Smith College,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/37/Smith_college_textlogo.svg
Wellesley College,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3e/Formal_Logo_of_Wellesley_College%2C_Wellesley%2C_MA%2C_USA.svg
Pusan National University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3d/Pusan_national_university_logotype.svg
Texas A&M University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/ee/Texas_A%26M_University_logo.svg
Virginia Tech,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/8f/Virginia_Tech_logo.svg
National University of East Timor,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/93/UNTL.png
New York University Tandon School of Engineering,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/0e/NYU_Polytechnic_School_of_Engineering.png
Odesa University,logos/000026_Odesa University_Odesa%20University.png,ok
National Metallurgical Academy of Ukraine,logos/000028_National Metallurgical Academy of Ukraine_NMetAU-COA.png,ok
Igor Sikorsky Kyiv Polytechnic Institute,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2f/KPI_shield.svg
University of Alaska Southeast,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/dd/UAS_Horizontal_Logo.png
I. Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/b/be/%D0%A2%D0%9D%D0%9C%D0%A3-%D0%B3%D0%B5%D1%80%D0%B1.jpg
Universiti Tenaga Nasional,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e6/Uni10.jpg
Allameh Tabataba'i University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c4/ATU.svg
Hiroshima University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/dc/HUlogo.jpg
IT University of Copenhagen,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/88/Logo_IT_University_of_Copenhagen.jpg
University of Virginia's College at Wise,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/6b/Uva_wise_textlogo.png
Oxford Brookes University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/6a/Logo_colour_204px.jpg
"University of California, Davis",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f3/The_University_of_California_Davis.svg
Oxford Brookes University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/51/Oxford-Brookes-University-Logo.svg
Oxford Brookes University,logos/000039_Oxford Brookes University_Oxford%20Brookes%20University%20logo.svg,ok
Kuban State Agrarian University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9c/Logo_vert1.png
Gavar State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e3/Gavar_University_official_emblem.png
Leiden University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/b/b0/UniversiteitLeidenLogo.svg
University of Warsaw,logos/000042_University of Warsaw_LOGO%20IKP%20%28cropped%29.png,ok
California Institute of Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/75/Caltech_Logo.svg
Duke University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e6/Duke_University_logo.svg
University of Vienna,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/4c/Uni_Wien_logo.gif
National Aerospace University – Kharkiv Aviation Institute,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/79/Logo_Luftfahrtinstitut_Charkiw.svg
"University of California, Los Angeles",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20California%2C%20Los%20Angeles%20logo.svg
Hebrew University of Jerusalem,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Hebrew_University_Logo.svg
University of Antwerp,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Universiteit%20Antwerpen%20nieuw%20logo.svg
Loyola University New Orleans,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/ac/Loyola_univ_neworleans_textlogo.png
Catholic Private University Linz,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KU-Linz-Logo.png
University of Texas at San Antonio,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UTSA%20Logo.svg
John Paul II Catholic University of Lublin,logos/000052_John Paul II Catholic University of Lublin_LogoKUL.png,ok
Imperial College London,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Imperial%20College%20London%20new%20logo.png
Jagiellonian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Herb_Uniwersytetu_Jagiello%C5%84skiego.svg
University of La Guajira,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/EscudoUniguajira.png
Cairo University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Cairo%20university.jpg
Uppsala University,logos/000055_Uppsala University_Uppsala%20universitet%20logo.jpg,ok
University of Tartu,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A4t%20Tartu%20Logo.svg
Hitotsubashi University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Hitotsubashi%20University%20logo%2C%206.svg
University of Zurich,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A4t%20Z%C3%BCrich%20logo.svg
Hankuk University of Foreign Studies,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HUFS.png
Worcester Polytechnic Institute,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/4d/WPI_wordmark.png
University of Amsterdam,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Amsterdam%20logo.svg
University of Hawaiʻi System,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University_of_Hawaii_system_logo.png
University of Texas at Tyler,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Uttyler_textlogo.png
National Autonomous University of Mexico,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Escudo-UNAM-escalable.svg
University of Manchester,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20University%20Logo%20%282%29.png
Niigata University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Niigata%20University%20Logo.svg
Zurich University of the Arts,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2c/ZHdK_Logo.svg
Fluminense Federal University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20UFF%20%28blue%29.svg
Andalas University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Lambang%20Unand.jpg
Michigan State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Michigan_State_University_wordmark.svg
Friends University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Friends%20univ%20textlogo.png
Budapest University of Jewish Studies,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Zsidoegyetem%20logo.svg
Osaka Prefecture University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/%E5%A4%A7%E9%98%AA%E5%BA%9C%E7%AB%8B%E5%A4%A7%E5%AD%A6.svg
Northwestern University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Northwestern%20University%20wordmark.svg
Eindhoven University of Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/67/Eindhoven_University_of_Technology_logo_new.svg
Norwegian University of Science and Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/NTNU-logo.svg
Al-Quds University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Al-Quds_University_Flag.gif
University of Wrocław,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Siegel%20der%20Universit%C3%A4t%20Breslau.jpg
German-Jordanian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/GJU%20logo.svg
University of Helmstedt,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/db/Siegel_Helmstedt_Universitaet.png
Schiller International University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Schiller%20International%20University%20-%20Logo%20-%2050%20Years%20Anniversary%20%28square%29.png
Trinity College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Trinity%20College%20%28Cambridge%29%20shield.svg
Herzen University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Herzen_University_logo.svg
Technion – Israel Institute of Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Technion_logo.svg
Adam Mickiewicz University in Poznań,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UAM%20logo%20Poznan.jpg
Oklahoma Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Obu%20simple%20logo.png
Adams State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Adams_state_univ_simplelogo.png
Kyoto University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Kyoto_University_emblem.svg
New Bulgarian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/NBUBG-logo.png
Kazakh-German University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/DKU%20Logo.svg
Neisse University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/b/b5/NU-logo.png
Vilnius Gediminas Technical University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/VILNIUS-TECH-LT.png
University of British Columbia,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/British%20columbia%20ca%20univ%20logo.svg
Škoda Auto University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0AV%C5%A0%20logo.png
Ōtani University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f2/Otani_University_Logo.svg
Academy of Fine Arts Vienna,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/AkbildWienLogo2021.jpg
Akita International University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Akita%20International%20University%20Logo.svg
National University of Distance Education,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/LogoUNED.jpg
University for Peace,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/2e/Universidad_para_la_Paz.svg
Florida Atlantic University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Florida%20Atlantic%20University%20logo.svg
University of Canterbury,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20the%20University%20of%20Canterbury.svg
University of Duisburg,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Sigillum%20Academicum%20in%20Teutoburgo.png
Wichita State University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/1b/Wichita_State_University_logo.svg
Alzahra University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/AlzahraUniversityLogo.svg
Kasetsart University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KU%20Logo.png
University of Illinois Urbana–Champaign,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Illinois%20at%20Urbana%E2%80%93Champaign%20logo.svg
Buckinghamshire New University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/af/Buckinghamshire_New_University.jpg
Burapha University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/BUU%20Logo.svg
University of Ingolstadt,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Kanzlersiegel%20-%20Universit%C3%A4t%20Ingolstadt.jpg
Nagoya City University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Nagoya%20City%20University%20mark%20%28with%20text%29.svg
American University in Bulgaria,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20AUBG-1.png
Federico Santa María Technical University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/47/Logo_UTFSM.png
University of Winnipeg,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Winnipeg%20univ%20ca%20textlogo.png
Hasanuddin University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Lambang%20Resmi%20Universitas%20Hasanuddin.jpg
Duquesne University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Duqlogo.png
American University of Armenia,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/24/%D5%80%D4%B1%D5%80_%D5%AC%D5%B8%D5%A3%D5%B8.png
John Paul II Catholic University of Lublin,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/LogoKUL.png
University of Notre Dame,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/ND_Wordmark.png
TH Köln – University of Applied Sciences,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/0e/TH_Koeln_Logo.svg
Pázmány Péter Catholic University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20univpazmany.svg
Ukrainian Catholic University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/UkrainianCatholicUniversitylogo.png
Mittelhessen University of Applied Sciences,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Technische%20Hochschule%20Mittelhessen%20Logo.svg
Georgetown University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Georgetown%20University%20Logotype.svg
The Catholic University of America,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/82/Catholic_univ_america_full_logo.png
Deggendorf Institute of Technology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Technische%20Hochschule%20Deggendorf%20logo.png
Seton Hall University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Shu%20logo.png
UCLouvain,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/UCLouvain_logo.svg
Seattle University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Seattle_University_logo.svg
Catholic University of Leuven,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Sedes%20Sapientiae%20Univ.%20Cathol.%20Lovaniensis%2C%20U.C.L.%201909.png
Tilburg University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/aa/Tiu.logo.jpg
Technical University of Applied Sciences Wildau,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Thwildaulogo.svg
Pontifícia Universidade Católica de Campinas,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20PUC-Campinas.svg
HTW Berlin,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HTW%20Berlin%20logo.svg
University of San Carlos,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/USC%20logo.svg
Australian Catholic University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/a9/Logo_AustralianCatholicUniversity.svg
University of Navarre,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logotipo%20Universidad%20de%20Navarra%20negro%20sobre%20blanco-SVG.svg
University of Navarre,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/UNAV.svg
University of Navarre,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/55/00._Marca_UNAV_negro_24.png
Universidad de los Andes,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo_uandes.png
Technische Hochschule Leipzig,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HSG%20TH%20Leipzig.jpg
Catholic University of Eichstätt-Ingolstadt,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KU%20Eichst%C3%A4tt-Ingolstadt%20Logo.svg
Oklahoma Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Obu%20simple%20logo.png
Regent University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Regent%20univ%20textlogo.png
Panamerican University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/32/Universidad_Panamericana_Logo_Dorado.jpg
Wheaton College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Wheaton%20college%20textlogo.png
Augustana Divinity School,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Augustana-Hochschule%20Neuendettelsau%20Logo.svg
Baylor University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Baylor%20Seal.png
Biola University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Biola%20univ%20text%20logo.png
Friedensau Adventist University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/d0/Logo_Theologische_Hochschule_Friedensau_Kopf.jpg
